页数,文章链接,文章标题,时间,来源,作者,浏览量
36,https://www.jhc.cn/2021/1016/c4548a136821/page.htm,金职院副校长成军在“推动现代职业教育高质量发展”论坛上作专题报告,2021-10-16,双高办,陈文航,915
36,https://www.jhc.cn/2021/1016/c4548a136816/page.htm,金职学子在第七届中国国际“互联网+”  大学生创新创业大赛中喜获佳绩,2021-10-16,就业指导处 创业学院,杨燕君 凌杰,862
36,https://www.jhc.cn/2021/1015/c4548a136814/page.htm,金职院机电工程学院举行2021级本科专业新生开学典礼,2021-10-15,​  机电工程学院, 章斌,1047
36,https://www.jhc.cn/2021/1015/c4548a136768/page.htm,金职院党委开展第19期夜学  学习研讨习近平总书记在中央人才工作会议上的重要讲话精神,2021-10-15,宣传部,于辰辰,667
36,https://mp.weixin.qq.com/s/eplVz5u8iY4qcZG--hfWyw,金职院师生党员掀起全省基层党建工作会议精神学习热潮,2021-10-14,,,
36,https://www.jhc.cn/2021/1014/c4548a136765/page.htm,金职院党委召开理论学习中心组（扩大）学习会 专题学习高质量发展建设共同富裕示范区,2021-10-14,宣传部,于辰辰 摄影：王天,529
36,https://mp.weixin.qq.com/s/1RvAmPKkZv84DoB2m7lR6A,育“双强”尖兵，谱共富华章 ——2021年省农业职业技能大赛在金职院举行,2021-10-14,,,
36,https://www.jhc.cn/2021/1013/c4548a136713/page.htm,金职院在首届全国教材建设奖评选中喜获佳绩,2021-10-13,教务处,辛奇,865
36,https://www.jhc.cn/2021/1013/c4548a136709/page.htm,金职院成功当选教育部高校毕业生就业协会教师专业委员会首届常务副理事长单位,2021-10-13,师范学院, 王理凡,755
36,https://www.jhc.cn/2021/1012/c4548a136699/page.htm,九九重阳节 浓浓敬老情——金职院为学校80周岁离退休人员集体祝寿,2021-10-12, 离退休处,​   周巍,834
37,https://www.jhc.cn/2021/1009/c4548a136622/page.htm,金职院党委班子召开巡视整改专题民主生活会,2021-10-09,组织部,周孝强,967
37,https://mp.weixin.qq.com/s/uQPZhEWZgf2DSy-eRjxtSA,“菁华”火炬薪火相传  百年接力强国有我——金职院举行2021级新生开学典礼暨立学第一课,2021-10-08,,,
37,https://www.jhc.cn/2021/1008/c4548a136579/page.htm,金职学子喜获全国首届乡村振兴职业技能大赛养老护理员项目银牌,2021-10-08,医学院,黄桂园 陈桂园,757
37,https://www.jhc.cn/2021/1001/c4548a136556/page.htm,金职院教师胡嘉苗获评浙江省第二届“思政星课堂”——“我最喜爱的高校思政课老师”称号,2021-10-01,金华职业技术学院,,1183
