页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数
19,4801305669011100,湖北篮球,2022-08-11 15:45:38,武汉锟鹏男篮队员@郭凯伦kellen 抵达“村BA”主场村台普斯现场观战。 湖北篮球的微博视频 ,https://m.weibo.cn/detail/4801305669011100,0,0,3
19,4801302598780737,刹那6196063233,2022-08-11 15:33:26,露天没门票，人山人海气氛爆！“村BA”冠军奖真牛网页链接 ,https://m.weibo.cn/detail/4801302598780737,0,0,0
19,4801300292438776,跃檀溪,2022-08-11 15:24:15,“天下为公”，每个人都有追求幸福生活的权利。近日贵州黔东南州台盘村办了篮球赛🏀，堪称“村BA”。这是一场业余赛事，比赛规则、球员资格审查、赛场氛围烘托，全部由当地群众自行组织。四天27场比赛，没有主客场，但设有专业裁判。与CBA一样，单场比赛也为四节。只是参赛队员必须同时满足两个条件 ...全文,https://m.weibo.cn/detail/4801300292438776,0,0,3
19,4801031299140810,互联网俊明说,2022-08-10 21:35:23,黔东南州村BA快要取代CBA了。CBA球员打的再好，给普通人没关系。村BA打好了，给普通人关系就大了。如果全国各地都有黔东南州这篮球氛围，男女篮绝对世界一流。 ,https://m.weibo.cn/detail/4801031299140810,173,212,400
19,4801281518211893,沐阳444,2022-08-11 14:09:40,想看一场村BA😄 ,https://m.weibo.cn/detail/4801281518211893,0,0,0
20,4801232282063087,中国篮球,2022-08-11 10:54:00,#韩旭称赞村BA篮球氛围#昨天晚上，韩旭@韩旭u_ 更新微博，谈到了最近火爆全网的“村BA”。“村BA的氛围太好了，球迷太热情了，有机会也来打场比赛。”韩旭在个人微博上写道。 ,https://m.weibo.cn/detail/4801232282063087,1,3,29
20,4801268629118888,反犬旁者者,2022-08-11 13:18:27,有点感动。生活的美好不是非得要看到春天，而是看到身旁的一草一花。《火爆全网的贵州村BA》 火爆全网的贵州&quot;村BA&quot;，外交部发言人赵立坚都忍不住转发，这是每一个篮球人最纯粹的热爱 ,https://m.weibo.cn/detail/4801268629118888,0,0,0
20,4801213637855236,N视频,2022-08-11 09:39:56,#当广东球队遇上村BA#【“村BA”赛场上的广东球员：当地人对篮球的热爱让我很震撼】没有电子大屏、只有水泥球场，观众席上却挤满了上万人。不久前，贵州台江县台盘村篮球比赛火爆网络，被网友称之为“村BA”。随后，台江县特别邀请了广东佛山顺德的篮球队打交流赛。曾效力于CBA北控队的顺德男篮队员景 ...全文,https://m.weibo.cn/detail/4801213637855236,2,0,21
20,4801047166457024,韩旭u_,2022-08-10 22:38:26,村BA的氛围太好了，球迷太热情了，有机会也来打场比赛,https://m.weibo.cn/detail/4801047166457024,2,39,171
20,4801244030043714,N视频,2022-08-11 11:40:42,【#当广东球队遇上村BA#】不久前，贵州台江县台盘村篮球比赛火爆网络，被网友称之为“村BA”。随后，台江县特别邀请了广东佛山顺德的篮球队打交流赛。曾效力于CBA北控队的顺德男篮队员景浩扬告诉南都、N视频记者，当地人对篮球的热爱让他大为震撼，相信未来会有越来越多人爱上篮球。   ...全文,https://m.weibo.cn/detail/4801244030043714,0,1,6
